口コミ,投稿日,preprocessed_text
送迎バスから急坂を上がりますが、湯の里の露天風呂は広々していて好きです。お部屋は、和洋室を選んでます。土地柄？天気もちょっと悪かったから？部屋が湿っぽい感じがしましたが、クーラーでなんとか。今回は、地下での食事でした。品数は満足、食べきれない〜と思いながら頂きました！肉がしっかり焼けたか？？あっ、火が消える！と言った心配はありましたが、やわらかい豚肉いただきました。アレルギーの子ども食は、変更していて下さいました。ありがとうございます。販売機で、水、麦茶を買いたかったのですが、水は売り切れ、麦茶は本館まで買いに行きました。もう少し種類があり、補充か、販売機で買えるようにしてほしいです。帰りのバスは、始発なので、本当に助かります！まだ行きます。２ヶ月連続で行きました！３ヶ月連続で行きたいです！,2023-08-30,送迎 バス 急坂 湯の里 好き 和洋 室 土地 柄 ? 天気 ? 感じ クーラー 地下 食事 満足 〜 ?? 火 心配 豚肉 アレルギー 子ども 食 変更 販売 機 水 麦茶 水 麦茶 本館 種類 補充 販売 機 帰り バス 始発 ヶ月 連続 ヶ月 連続
家族3人で宿泊させていただきました。送迎バスがあるのでとても助かりました！夕食のお肉とお魚がとても美味しかったです。それぞれ量も丁度よく、食べ盛りのこどもが食べ足りなかったりすることなく大満足です。露天風呂は入る場所ごとに温度が違っていたので、のぼせやすい体質の私でもゆっくり入ることができました。朝風呂もオススメです！朝ごはんはバイキング形式で、ちゃんと部屋毎にテーブルをご用意していただけるのでゆっくり座りながらバイキングを楽しめました。納豆やお味噌汁、お魚もあってThe朝食って感じがして良かったです。スタッフの方も皆様とても親切で気持ち良かったです♪また箱根で旅行する際はおかださんにお世話になります！,2023-08-28,家族 人 宿泊 送迎 バス 夕食 魚 量 丁度 盛り こども 満足 場所 ごと 温度 体質 私 朝風呂 オススメ 朝 ごはん バイキング 形式 毎 テーブル 用意 バイキング 納豆 味噌汁 魚 The 朝食 感じ 皆様 親切 ♪ 箱根 際
高台にあるため徒歩はかなりきつい。ホテルの場所、駐車場も分かりにくい。敷き布団が薄く二枚重ねて利用。隣の部屋、声などうるさい。お風呂は遠いが色々楽しめる。食事は料金なり。品数が寂しいかも。若い人向きのホテルかと思う。,2023-08-27,高台 徒歩 ホテル 場所 駐車 場 敷き布団 枚 隣 声 食事 料金 人 向き ホテル
小田原城などを観光した後、翌日の大涌谷・芦ノ湖など箱根を観光するためにこちらのホテルを利用させて頂きました。車のナビは温泉町の奥へと案内するので、「どこに連れていかれるのだろう、、、」と思っていると「箱根の森おかだ」が現れました。外観は新しい感じはありませんでしたが、部屋は清潔感があり、広く、快適でした。このホテルは少し高台にあるので、部屋からの景色が良いです。ホテル内にプールもあり、子供連れにも良いと思いました。しかし、このホテルの一番のお勧めはやはり温泉です。内湯と色々な露天風呂があるので、それらの湯船をめぐるだけでも楽しめます。リーズナブルなお値段で、箱根観光と温泉を楽しみたい方には、お勧めです。もちろん、小さな子供連れの家族にも、お勧めだと思います。,2023-08-15,小田原 城 観光 後 翌日 涌谷 芦ノ湖 箱根 観光 ホテル 車 ナビ 町 奥 案内 どこ 箱根 森 外観 感じ 清潔 感 快適 ホテル 高台 景色 ホテル 内 プール 子供 連れ ホテル 一番 勧め 内湯 色々 それら 湯船 リーズナブル 値段 箱根 観光 子供 連れ 家族 勧め
温泉がすごくよかったです！！温泉を売りにしたお宿な気がします！夕飯はとても良かったですが、朝食はバリエーションが不足してました。ただ、お部屋が残念でした。トイレのアンモニア臭がします。部屋を出る際に毎回カギを抜き取ることで、電源がOFFになるため空調してても意味ありません。スタッフさんはみなさん対応良かったです。,2023-08-14,!! 宿 気 夕飯 朝食 バリエーション 不足 残念 トイレ アンモニア 臭 際 毎回 カギ 電源 OFF 空調 意味 みなさん
初めて利用しましたが、露天風呂がとても気持ちよかったです。夕飯も種類豊富で美味しく、朝ごはんもバイキングで色々なおかずを食べれて満足でした。部屋も広く清潔感あり、スタッフの方も声かけるとすぐ対応していただき楽しい家族旅行でした。,2023-08-12,夕飯 種類 豊富 朝 ごはん バイキング 色々 おかず 満足 清潔 感 声 家族
今回は夏休みという事もあり、プール付きという事でお世話になりました。幼児用プールやそのまま入れる温泉もあり、たくさん遊べました。また、温泉は露天にたくさんの種類があり、とても気持ち良く大満足でした。温泉だけでも価値はあります。またお世話になりたいです。,2023-08-12,夏休み 事 プール 付き 事 幼児 用 プール たくさん 露天 たくさん 種類 満足 価値
家族で利用しました。ジャグジーやジェットバス、打たせ湯、色々なお風呂を楽しみました。隣のおかだホテルのお風呂も利用できますよ。お部屋も3人で利用するには十分広く、ゆったり過ごせました。仲居さんがいない分、自分たちのペースでのんびりできたのが逆によかったです。子どもの食事は大人と同じだと聞いていたのですが、一部のメニューがハンバーグになっていたり、子どもが苦手なメニューが抜いてあったりと、心遣いが感じられました。子連れ旅行にオススメです。また是非利用したいです!,2023-08-10,家族 ジャグジー ジェットバス 湯 隣 ホテル 人 十分 仲居 分 自分 たち ペース 逆 子ども 食事 大人 一部 メニュー ハンバーグ 子ども 苦手 メニュー 心遣い 子連れ オススメ 是非
何度目かのリピーターです比較的近くに住んでいるので思い立ったら予約してさっと出かけます。アルティメット美食プランということでいつもより豪華な夕食でした。この旅館はコスパが良くて気を張らなくていい旅館なので温泉も何度も入りまったり過ごしました良かったです,2023-08-07,度目 リピーター 近く 予約 アルティメット 美食 プラン 豪華 夕食 旅館 パ 気 旅館 度
夏休みですので、家族大人4人＋父母でプールと温泉目当てで一泊しました。こちらの宿には6回ほどお世話になってます。まず子供が小さい頃は1階のお部屋が用意されていましたが、今回大人ばかりだったので初の3階でした。お部屋はいつもと同じタタミ＋洋室ベッド2台でした。綺麗に掃除され、SHARPプラズマクラスターの空気清浄機があり、禁煙ルームで喘息持ちですが、安心して過ごせました。タタミが1箇所だけふわふわのした場所があったので、部屋の満足度を4にしました。お料理は夜は鉄板を和牛に変更したコースで、父も久しぶりに美味しいとたくさん食べてくれました。朝は全てバイキングに変わっていました。息子は干物嫌いなので好きなものだけ取れるのはありがたかったです。働いている方は外国の方でしたが、日本語も上手でとても感じがよく、冷房が効きすぎていたらすぐに調整してくれました。プールはあまり深く無いので、子供が小さい頃見守りやすく、大人だけでも楽しく過ごせました。プールの一角がミニ温泉があり、寒くなると暖まれます。今回不自由だったのは、５家族しか居なかったのですが、プールサイドの着替えの室のロッカーが、男子女子共に一つもなく荷物に困りました。温泉は3階通路から繋がる日帰り入浴施設が使えます。朝6時から11時ぐらいまで自由に入れます。マッサージ機も無料なのでゆっくり疲れを癒せました。また来年お世話になります。,2023-08-06,夏休み 家族 大人 人 + 父母 プール 目当て 一泊 宿 回 子供 頃 階 用意 大人 初 階 タタミ + 洋室 ベッド 台 綺麗 掃除 SHARP プラズマクラスター 空気 清浄 機 禁煙 ルーム 喘息 安心 タタミ 箇所 場所 満足 度 夜 鉄板 和牛 変更 コース 父 久しぶり たくさん 朝 全て バイキング 息子 干物 嫌い 好き 外国 日本語 上手 感じ 冷房 調整 プール 子供 頃 大人 プール 一角 ミニ 不自由 家族 プール サイド 着替え 室 ロッカー 男子 女子 共 荷物 階 通路 日帰り 入浴 施設 朝 自由 マッサージ 機 無料 疲れ 来年
子どもたちの休校日に休みが取れたので、大人1小学生2で利用しました。行きは駅から徒歩で行ったのですが宿まで予想以上に急な坂が続きます。日頃から歩くのが好きな私は大丈夫でしたが、雨が降り始めたこともあり、子どもたちは「まだ着かないの？」と文句タラタラ。ちょっと反省。次回からは送迎を利用しようと思います。宿の建物自体はほぼ客室しかないので温泉へは一旦外に出るか連絡通路を通って隣接の湯の里に行きます。通路の途中でプールが見えるのですが、水がはってあるもののロープや柵などはなく、小さい子が行ってしまわないかと安全面がちょっとだけ気になりました。温泉は露天風呂が5種類ほどあって打たせ湯や寝湯、ジェットバスなど子どもたちも喜んで入っていました。今回チェックイン時間が遅い分チェックアウト11時のプランにしたので、観光やティータイムを楽しんでから泊まり、翌朝も少しゆっくりできてよかったです。天候がいまいちで外に出ての移動が難しく、ホテルおかだの温泉に行けなかったので、次回はそちらにも入ってみたいです。平日だったのもあり、一泊二食和洋室利用で大人11000円ほどとかなりコスパがよかったです。,2023-07-20,子ども たち 休校 日 休み 大人 小学生 行き 駅 徒歩 宿 予想 以上 急 坂 日頃 好き 私 大丈夫 雨 子ども たち ?」 文句 タラ タラ 反省 次回 送迎 宿 建物 自体 客室 外 連絡 通路 隣接 湯 里 通路 途中 プール 水 ロープ 柵 子 安全 面 気 種類 湯 湯 ジェットバス 子ども たち チェックイン 時間 チェック アウト プラン 観光 ティー タイム 翌朝 天候 外 移動 ホテル 次回 そちら 平日 泊 食 和洋 室 大人 円 パ
夫婦2人と娘と孫4人でお世話になりましたまず！外観は森のイメージピッタリでジブリっぽい感じで良かったです。お風呂がさらに！自然に囲まれて最高でした。お部屋は十分過ぎるほど広くゆったりできましたがテレビがとても小さく残念。またお邪魔させてもらいます,2023-07-19,夫婦 人 娘 孫 人 外観 森 イメージピッタリ ジブリ 感じ 自然 最高 十分 テレビ 残念 邪魔
2歳の子供と一緒に宿泊しました。浴衣もあり、スタッフさんも良くしてくださり、楽しい旅となりました。夜のチェックインだったので、夕食は食べてないですが、朝食はとても美味しく食べさせて頂きました。子供用のカトラリー、椅子もあり、安心して宿泊できました。おせわになりました！,2023-07-17,歳 子供 一緒 宿泊 浴衣 くだ 旅 夜 チェックイン 夕食 朝食 子供 用 カトラリー 椅子 安心 宿泊 せわ
綺麗な部屋でした3階の渡り廊下から隣の建物のお風呂に行くんですが5つ位露天風呂あって43ドから44℃近くの温度でいつも41℃位の私には熱かったから寝湯のとこだけでも良いからぬる湯にしてほしいなぁ38℃くらいの、、夕食はめちゃくちゃ豪華で懐石料理でした^_^天ぷらだけ二人で一つの皿に盛られてあるのみて豪華さから若干庶民派に変わりました笑味は最高！自販機が200円だったからコンビニいってくれば良かったぁ。あと自販機に軽食、ツマミ程度でいいから置いて欲しいですー夜中2時にお腹空いたんで、なんかないか見に行ったら何もなくてぺこぺこでした朝サウナ朝入りたい人なんで朝サウナ開催してほしいです^ - ^ ビュッフェも最高！でもパンも欲しかったです^ - ^温泉卵5個も食べちゃいましたすみません食べすぎたぁ冬もまた予約さしていただきますね^_^,2023-07-15,綺麗 階 渡り廊下 隣 建物 位 ド ℃ 近く 温度 ℃ 位 私 湯 湯 ℃ 夕食 めちゃくちゃ 豪華 懐石 ^_^ 天ぷら 人 皿 豪華 若干 庶民 派 笑 味 最高 自販機 円 コンビニ ぁ あと 自販機 軽食 ツマミ 程度 ー 夜中 お腹 なん 朝 サウナ 朝 人 朝 サウナ 開催 ^ - ^ 最高 ^ - ^ 卵 個 ぁ 冬 予約 ^_^
箱根旅行の際に何回か宿泊させていただいてます。お風呂やお部屋はいつも通りでしたが、今回は夕食がいつもと違いました。いつもは食べきれないのですが始めて料理を追加しました。もう少し量があってもいいかなと感じました。,2023-07-12,箱根 際 回 宿泊 通り 夕食 追加 量
今は、入浴に年齢制限があり異性の子どもと行くのが、難しいのですが、年齢制限が特に設けられてないと書いてあり、助かりました。夫が行けないため、子どもとの旅行でした。小学校低学年ですが、子どもだけでは、危ないため、一緒に女湯です。タオルで隠させ、女の子が入っていた場合は、同じお風呂に入れないように私なりに考えました。異性の子どもが居る方には、助かります。が、親も色々配慮は必要だとは思います。ありがとうございました。また夏休みに伺いたいです。お料理は、アレルギーがあるため、コメントしましたら、変更してくださっていました。,2023-07-09,今 入浴 年齢 制限 異性 子ども 年齢 制限 夫 子ども 小学校 学年 子ども 一緒 湯 タオル 女の子 場合 私 異性 子ども 親 配慮 必要 夏休み アレルギー コメント 変更
箱根の森から本館までは一度外にでなければならないので大変だったかなお風呂は湯の里の方が露天でサウナもありよかったです送迎が箱根湯本からホテル共通のバスなので並んでいて乗るのは大変でしたグループだったからタクシー移動しました帰りはホテルからバスに乗れたけどすでに立ち席で並んで待っていても乗れない人もいました土日だからかそんなに混んでるなら予約にするとか対応して欲しいです,2023-06-27,箱根 森 本館 度外 大変 湯の里 露天 サウナ 送迎 箱根湯本 ホテル 共通 バス 大変 グループ タクシー 移動 帰り ホテル バス 席 人 土日 予約
本館の内湯より開放感も感じられました部屋も畳がありゆっくりできましたまた行きたいです送迎は混んでました,2023-06-27,本館 内湯 開放 感 畳 送迎
初めて利用しました。色々な方のコメントを読みましたが特に気になる所はありません。ホテルその物が小さいので宿泊客少ないのか静かでした。もし駅から徒歩でホテルに行くならホテルおかだの館内経由をお薦めいたします。,2023-06-18,色々 コメント 気 所 ホテル 物 宿泊 客 静か 駅 徒歩 ホテル ホテル 館内 経由
箱根に来る際何度か利用したことがあるホテルでした。今まであまり悪い印象がないホテルでしたので今回も利用させていただきました。夕食が今までとあまりに違っていたのでスタッフの方に確認させていただきましたが、返答は予約は和食膳となっていますとのこと。何が今までと違うのか分かりづらいです。予約する際の写真だけでの判断となるので過去利用したときの夕食内容と同じだと誤解してました。予約の際食事の詳細等案内あれば有り難かったです。今回はじめて山彦での食事でしたが、席に着いて早々外国人のスタッフの方に「飲み物の注文が無ければ水です。」と言われましたが、接客態度としてどうなんだろうと思いました。せめてお水の提供になりますが大丈夫でしょうかのようないいまわしにしたらと思いました。あと朝食に関しましては夫は満足してなかったようです。洋食っぽいメニューがあればと申していました。お風呂は良かったです。,2023-06-10,箱根 際 度 ホテル 今 印象 ホテル 夕食 今 確認 返答 予約 和食 膳 今 予約 際 写真 判断 過去 夕食 内容 誤解 予約 際 食事 詳細 等 案内 山彦 食事 席 外国 人 飲み物 注文 水 接客 態度 水 提供 大丈夫 あと 朝食 夫 満足 洋食 メニュー
和洋室のお部屋でしたが、広くて清潔感あって、とてものんびりできました。湯の里の方は、一度外に出ますがそんなに遠くはないので、負担はなかったです。いくつか浴槽はありますが、全体的にぬるめでした。朝は少しあるいて、本館のお風呂に行きましたが、脱衣所、浴槽がとても広くて気持ちよかったです。夕食も量が丁度良く、子供はハンバーグになっていました。朝食は和食で、他の方が量が少ないと書かれていますが、私は十分でした。パンとかはありませんでした。箱根湯本の駅からはちょっと離れていて、山の方ですが、私が泊まった部屋からはとても景色が綺麗でした。建物は古いですが、全体的に清潔感あって値段もお安かったので、良い旅行になりました。,2023-05-08,和洋 室 清潔 感 湯の里 度外 遠く 負担 いくつ 浴槽 全体 的 朝 本館 脱衣 所 浴槽 夕食 量 丁度 子供 ハンバーグ 朝食 和食 他 量 私 十分 箱根湯本 駅 山 私 景色 綺麗 建物 全体 的 清潔 感 値段
ホテルまでの道のりが急坂だった事、建物の古さが少し気になりましたが、部屋もキレイに清掃されていて快適に過ごす事ができました。お風呂も食事も良く、スタッフの方達もとても感じが良かったです。機会があったらまた宿泊したいです。,2022-10-05,ホテル 道のり 急坂 事 建物 気 キレイ 清掃 快適 事 食事 達 感じ 機会 宿泊
今回もゆっくりさせて頂きました、ありがとうございました。今回はお風呂が少し残念でした、一緒の場所で入れたら良かったのですが…,2023-08-29,残念 一緒 場所
夏休みの思い出に宿泊しました。客室風呂は景色も良くゆっくりと温泉を堪能しました。子供達は成人していてリファのドライヤーやヘアアイロン、シャワーヘッドに感動していました（笑）食事は館内で移動出来るおかだでのバイキングでした。メニューも豊富で少食の子ども達には好きなものを選べるのでとても良かったです。早めの到着に日帰り風呂を使用させて頂きとてもありがたかったです。接客も丁寧で素晴らしかったです。,2023-08-26,夏休み 思い出 宿泊 客室 景色 堪能 子供 達 成人 リファ ドライヤー ヘア アイロン シャワー ヘッド 感動 ( 笑 ) 食事 館内 移動 バイキング メニュー 豊富 少食 子ども 達 好き 早め 到着 日帰り 使用 接客 丁寧
普通のホテルでは、浴衣は普通サイズのみ部屋にあるがふるさとは以前特大をお願いしていた事を記録していたようですでに部屋に準備されていた。感動です。,2023-07-29,普通 ホテル 浴衣 普通 サイズ ふるさと 以前 特大 お願い いた事 記録 準備 感動
１泊朝食での宿泊でした。お宿は部屋数が少なくてとても静かです。和室でしたが高級マッサージチェアもあったりお風呂も広くてゆったりと出来ました。ホテルおかだと隣接しているのでおかだのお風呂にも行けます。ただ、館内通路で繋がっています。移動距離はちょっとあります。朝食もおかだのバイキングです。のんびりできるのでまた行きたいと思います。,2023-07-22,泊 朝食 宿泊 宿 数 静か 和室 高級 マッサージ チェア ホテル 隣接 館内 通路 移動 距離 朝食 バイキング
今回2度目で、母姉娘の4人で来ました。客室風呂の湯質最高です。人気でなかなか予約取りにくい様ですが、また狙って（笑）行きます！,2023-07-15,度目 母 姉 娘 人 客室 湯 質 最高 人気 予約 様 ( 笑 )
一番お手頃なプランで予約したため、部屋にトイレとお風呂はありませんでしたが、近くにどちらもあったため問題なく過ごすことができました。別館にある同じホテル系列のお風呂にも入れてとても楽しかったです。新婚旅行として利用させて頂いたため、サービスもしていただきました。お心遣いありがとうございます。,2023-07-10,一番 手頃 プラン 予約 トイレ 近く どちら 問題 別館 ホテル 系列 新婚 サービス 心遣い
恋人との旅行で利用させていただきました。選べる浴衣が色々な柄があり、帯や羽織り、かごバッグも置いてありました。可愛い柄の浴衣を着られてテンションが上がりました。館内もお部屋もとても清潔感があり、窓からは小さな滝も見えて、とても落ち着く雰囲気の素敵な宿でした。お部屋の温泉が最高で、箱根まで長旅でしたが疲れも取れました。夕食・朝食のバイキングもとても美味しかったです。初めての箱根旅行でしたが、とても素敵な場所で、また来たいと思いました。この度は楽しい時間を過ごさせていただきありがとうございました。,2023-07-09,恋人 浴衣 色々 柄 帯 かご バッグ 柄 浴衣 テンション 館内 清潔 感 窓 滝 雰囲気 素敵 宿 最高 箱根 長旅 疲れ 夕食 朝食 バイキング 箱根 素敵 場所 度 時間
露天風呂付きの和洋室は広く、ゆっくりすることができました。館内いたるところに、組子細工のされた作りの壁がありステキでした。風呂場から滝や鯉が泳ぐ池が眺められ、窓の開閉で熱気がこもることなく入れ、良かったです。大浴場も行きましたが、私は誰にも会わず貸し切り状態で満喫。食事はおかだやさんのバイキングをいただきました。ホテルの大きさにびっくり。寿司はその場で握ってくれ、マクロが美味しかったです。和洋中色々あり、一泊では残念な程。ステーキと天婦羅がその場で作ってくれるスタイルかと思ったのですが、期待はずれ。冷めていたので美味しいとはいえなかったです。どちらの接客もよく、細かい気配りがあるのが伝わりました。違う季節に違う景色を楽しみにきたいです。,2023-07-07,付き 和洋 室 館内 組子 細工 作り 壁 ステキ 場 滝 鯉 池 窓 開閉 熱気 浴場 私 誰 貸し切り 状態 満喫 食事 バイキング ホテル びっくり 寿司 場 マクロ 和洋 泊 残念 程 ステーキ 天 婦 羅 場 スタイル 期待 はずれ どちら 接客 気配り 季節 景色 楽しみ
出張帰りに仲間と利用しました♪行きには車を置いて東京まで行って翌日一っ拍隣接のおかだの浴室も使用でき大満足でした。深夜の到着のも関わらず5回入浴し全浴場制覇東京出張の際はこの行程もありですね,2023-07-02,出張 帰り 仲間 ♪ 行き 車 東京 翌日 拍 隣接 浴室 使用 満足 深夜 到着 回 入浴 浴場 制覇 東京 出張 際 行程
母と妹と三人で初めての親子旅行でお世話になりました。数年前に家族で泊まったことがあったのですが、その時に泊まった部屋にしていただき懐かしくなりました。事前に問い合わせをした際に、高齢の母が一緒だという事を伝えていたのを気に留めて下さり椅子が用意されていてとても嬉しかったです。良かった点・前回同様に館内はとても清潔感があり快適に過ごせた。・スタッフの皆さんが笑顔で丁寧に接してくれた。・部屋のタオルハンガーが増えていてバスタオルも干す事ができた。・喫煙室でもたばこの匂いが全く気にならない。・利用していませんがお部屋のお風呂も温泉が出る。・ホテルおかだの温泉・足湯も利用できる。残念だった点・敷布団が薄い(腰痛がひどいので押し入れに余っていた物を重ねて使用しました。）・２回とも暑い季節に利用したせいかもしれませんが、エアコンの温度設定と羽毛布団の調節が難しく全員寝汗をかきました。肌掛け等薄めの掛布団が用意されていると助かります。・ふるさとの温泉の利用時間が朝７時からなので朝食付きにすると利用しずらい。（母が朝風呂に入りたかったのですが、早朝から利用できるおかだの大浴場は少し遠いので諦めました。）・ふるさとの温泉の洗い場の水圧がすごく弱かった。（５つあるうちの１つが使用禁止で残りの4つを４人で同じタイミングで使ったときの内湯の真ん中の洗い場の状態です）・おかだの夕食バイキングの内容が前回より残念だった。（カニの食べ放題とローストビーフがなくなっていた）全体的にはゆっくりと快適に過ごす事ができ、母の日のプレゼントも兼ねて連れて行った母も満足してくれたようなので良かったです。今後また家族で利用する機会もあると思いますので、ご検討いただければ幸いです。,2023-06-28,母 妹 三 人 親子 数 年 前 家族 事前 問い合わせ 際 高齢 母 一緒 事 気 椅子 用意 点 前回 同様 館内 清潔 感 快適 皆さん 笑顔 丁寧 タオル ハンガー バス タオル 事 喫煙 室 たばこ 匂い 気 ホテル 足湯 残念 点 敷布団 ( 腰痛 押し入れ 物 使用 ) 回 季節 せい エアコン 温度 設定 羽毛 布団 調節 全員 寝汗 肌 掛け 等 薄 め 掛布団 用意 ふるさと 時間 朝 朝食 付き らい ( 母 朝風呂 早朝 浴場 ) ふるさと 洗い場 水圧 ( うち 使用 禁止 残り 人 タイミング 内湯 真ん中 洗い場 状態 ) 夕食 バイキング 内容 前回 残念 ( カニ 放題 ロースト ビーフ ) 全体 的 快適 事 母 日 プレゼント 母 満足 今後 家族 機会 検討 幸い
娘と温泉旅行で宿泊しました。今回は電車の旅だったので、箱根湯本の温泉宿で探して木もれびの宿ふるさとさんを予約しました。予約の決め手はお部屋のお風呂も温泉で大浴場もあり、隣接するホテルおかださんでのバイキング形式の食事と大浴場の利用も出来る点でした。お宿は2階建てでこじんまりしていますが、綺麗で素敵なお宿です。お好みの浴衣や丹前、籠バックが選べます。お部屋も広くて綺麗で快適です。宿泊したお部屋は和室でお布団は自分で敷くスタイル。バストイレ別でトイレはウォシュレット、バスはユニットですが温泉です。タオルはお風呂用タオルの他に手拭きタオルがあります。いろいろなお宿に泊まってますが、お風呂用タオルしか無いお宿もあり、これは私の中ではポイント高いです。大浴場はこじんまりしていますが、内湯と露天風呂があり、ちょっとした滝があって良い感じでした。大浴場の男女入れ替えはありません。ホテルおかだへは外へ出なくても館内に通路があり、移動は快適です。大浴場は広く内湯、露天風呂あり、男女入れ替え制でどちらのお風呂も楽しめます。お食事は種類はたくさんあり、ライブキッチンもあり楽しめますが、個人的に私の好みのものは少なかったので少し残念でした。接客ですが、とても丁寧で良かったので気分良く過ごす事が出来ました。夜は無人になってしまい、玄関が施錠されてしまいますが、ホテルおかだと繋がっており、そちらからの出入りは可能ですので特に不安はありませんでした。いろいろなサービスがあり、こちらに宿泊して本当に良かったです。,2023-06-25,娘 宿泊 電車 箱根湯本 宿 木 もれ び 宿 ふるさと 予約 予約 決め手 浴場 隣接 ホテル バイキング 形式 食事 浴場 点 宿 階 建て 綺麗 素敵 宿 好み 浴衣 丹前 籠 バック 綺麗 快適 宿泊 和室 布団 自分 スタイル バス トイレ 別 トイレ ウォシュレット バス ユニット タオル 用 タオル 他 手拭き タオル いろいろ 宿 用 タオル 宿 私 ポイント 浴場 内湯 滝 感じ 浴場 男女 入れ替え ホテル 外 館内 通路 移動 快適 浴場 内湯 男女 入れ替え 制 どちら 食事 種類 たくさん ライブ キッチン 個人 的 私 好み 残念 接客 丁寧 気分 事 夜 無人 玄関 施錠 ホテル そちら 出入り 可能 不安 いろいろ サービス 宿泊
今回は、紅葉の部屋こぢんまりとして静かで2人には、丁度良い陶器風呂の温泉は、幅が広くゆったりとして気持ち良い今回も素泊まりでしたが、朝はゆっくりできる夕食のみプランがあるともっと便利かもしれないほんとにゆっくりまったりとできる温泉宿です,2023-06-23,紅葉 静か 人 陶器 幅 素泊まり 朝 夕食 プラン 便利 宿
山なので、虫が気になりました。箱根湯本まで歩ける距離で、散策しながらゆっくりできました。また秋〜冬に行きたいと思います。,2023-06-19,山 虫 気 箱根湯本 距離 散策 秋 〜 冬
友人　娘と　３人旅でした。３人共に喫煙者なので　部屋で　喫煙出来るのは大変嬉しく　おしゃべりも弾みました。部屋付きお風呂も　露天風呂も　良かったです後は　鍵が１つしかないので　少し不便でした。色々ありましたが楽しい旅になりました。,2023-06-12,友人 娘 人 旅 人 喫煙 者 喫煙 大変 おしゃべり 付き 後 鍵 不便 旅
