口コミ,投稿日,preprocessed_text
子連れの家族旅行で使いました。お盆の1週間前なのに、予約できてラッキーと思いましたが、もう2度と利用したくありません。食事や部屋の広さは普通レベルで、可も不可もありませんが、悪いと感じた点をコメントさせていただきます。１．接客・サービス出迎えなし、入館時フロントからの挨拶なし、そもそも共用部でも、館内全体的にスタッフの姿が見えず、コールしないと表さなかった宿です。人手不足は分かりますが、温泉旅館はセルフ化しすぎて、サービスの質は極端に落ちて、悲しく感じます。そして、環境に配慮するため、客室アメニティを有料で提供することは理解できますが、チェックアウト時に未使用品の返品は一切できないのはおかしくありませんか。環境に配慮するなら、販売数の削減や、未使用品の再販を注力するのではありませんか。お客さんに渡したものは返品できないって、販売目的にしか感じませんでした。２．風呂大浴場の露天風呂はひど過ぎる。大量の虫の死骸が浮いてる濁ったお湯。人手不足の問題で掃除係いないせいか、お湯の入れ替えを怠っているか。道端にある足湯でも、その露天風呂よりはきれいと感じます。３．清潔感2点コメントさせていただきます。①部屋にあるガラスコップ複数のコップに、水垢が顕在しています。ちゃんと洗ったとは思いません。②照明のところ、虫が集まっています。虫の駆除は全く行っていませんでしょうね。お盆直前のため、予約の取れるところが少ない中、この宿を選びましたが、残念でした。もう2度と利用しません。,2023-08-13,子連れ 家族 お盆 週間 前 予約 ラッキー 度 食事 普通 レベル 可 不可 点 コメント . 接客 サービス 出迎え 入館 フロント 挨拶 共用 部 館内 全体 的 姿 コール 宿 人手 不足 旅館 セルフ 化 サービス 質 極端 環境 配慮 客室 アメニティ 有料 提供 理解 チェック アウト 使用 品 返品 一切 環境 配慮 販売 数 削減 使用 品 再販 注力 お客 返品 販売 目的 . 浴場 大量 虫 死骸 お湯 人手 不足 問題 掃除 係 せい お湯 入れ替え 道端 足湯 きれい . 清潔 感 点 コメント ① ガラス コップ 複数 コップ 水垢 顕在 ② 照明 虫 虫 駆除 お盆 直前 予約 宿 残念 度
到着時の様子として、ホテルは綺麗なのですが、とてもひっそりとしていて運営されるのか不安になりました。チェックインまでしばらく時間を要し、ロビーで時間キッチリまで待機することになるため、到着もしくはゆっくりでもよいかと思います。部屋は清潔感があり、部屋数も少ないためとても静かに過ごせます。食事は沢山ではありませんが、お腹はしっかり満たされました。味はそれなりですが、好き嫌いが別れるとは思います。お酒はほぼ原価であり、安心してたくさん飲めます（笑）ここはお風呂が最高です。とにかく泉質がいい！貸切風呂や料理の質の向上、ベッドの設置などのサービスの拡充がなされればと思い！星4としました。,2023-08-09,到着 様子 ホテル 綺麗 運営 不安 チェックイン 時間 ロビー 時間 チリ 待機 到着 清潔 感 数 静か 食事 沢山 お腹 味 好き嫌い 酒 原価 安心 たくさん ( 笑 ) 最高 泉 質 貸切 質 向上 ベッド 設置 サービス 拡充 星
ホテルは山に囲まれいて 部屋からは芦ノ湖と富士山が見えて自然を満喫するには最高でした、建物も綺麗で館内も清潔感があり良かっったです。食事も普通ですが、リーズナブルな宿泊代なので当たり前ですが、ご馳走を期待して行かなければ良いホテルだと思います、とくに小さい子供が居るファミリーで箱根に遊びに来た時に泊まるのには良いと思います、実際にファミリーが多かったです 笑,2023-08-05,ホテル 山 芦ノ湖 富士山 自然 満喫 最高 建物 綺麗 館内 清潔 感 食事 普通 リーズナブル 宿泊 代 当たり前 ご馳走 期待 ホテル 子供 ファミリー 箱根 遊び ファミリー 笑
値段的にはあまり期待してませんでしたが、部屋も広く、芦ノ湖も見えて大変満足しています。露天風呂もあり、早朝に入ったのですが貸切状態になり、ゆっくりできました。,2023-08-03,値段 的 期待 芦ノ湖 大変 満足 早朝 貸切 状態
四季倶楽部は他でも利用させて頂いていましたがこちらは今回初めて利用させて頂きました。バス停で降りて携帯のバッテリーが切れて少し迷いましたがたどり着きました。お風呂は時間帯なのかほぼ貸切り状態でしたので良かったです。四季倶楽部はとてもリーズナブルなので利用しやすく助かります。有難う御座いました。,2023-08-03,四季 倶楽部 他 バス停 携帯 バッテリー 時間 帯 状態 四季 倶楽部 リーズナブル
良い意味で放置されます。必要な物は自分で用意すれば大丈夫です。好きな時に布団敷いて休めますので自由度高く満足です。食堂の飲み物や自販機の値段が良心的なのでわざわざ買って持ち込まなくてもいい感じ。,2023-07-28,意味 放置 必要 物 自分 用意 大丈夫 好き 布団 自由 度 満足 食堂 飲み物 自販機 値段 良心 的 感じ
二日間、霧と風で残念でした。フリーパスを使用して周遊する予定でしたが、途中遊覧船が休航、三社巡りの予定でしたが、ロープウェイが休止で、二社巡りのみとなってしまいました。次回機会があればと思うしかありませんでした。ホテルの部屋は広くてよかったです。,2023-07-16,日間 霧 風 残念 フリー パス 使用 周遊 予定 途中 遊覧 船 休航 三 社 巡り 予定 ロープ ウェイ 休止 社 巡り 次回 機会 ホテル
研修所のようなあっさりした施設でも食事はとても美味しかったです。温泉がとて良くお肌ツルツル食堂から富士山が見えとてもきれいでした。スタッフさん少人数ですが対応良かったです。,2023-07-14,研修 所 施設 食事 肌 食堂 富士山 きれい 人数
週末ふとどこかでゆっくりしたいと思いじゃらんで過去に利用したこちらに再訪の予約をしました。16時チェックインと少し遅めですが、慣れればいいかなと。歯ブラシは50円の有料なので持参した方がいいかと思います。部屋は和室で偶然にも芦ノ湖が見える部屋でした。布団等は自分で上げ下ろしをするのでマットを複数重ねました。風呂は23時までと早いので夕食後何度も入りました。露天風呂がお気に入りです。夕食はお腹いっぱいになる量で特に不満はありません。おかげで朝食はあまり食べれませんでした。安い宿ですが、古くは無く清掃も行き届き、お風呂も良い、食事も普通で文句はありません。23時に玄関を施錠するので、宿に寄る前にコンビニで買い物を済ませる事をお薦めします。また、機会があれば利用しようと思います。ありがとうございました。,2023-06-27,週末 どこ らん 過去 再訪 予約 チェックイン め 歯ブラシ 円 有料 持参 和室 偶然 芦ノ湖 布団 等 自分 上げ下ろし マット 複数 夕食 後 度 お気に入り 夕食 お腹 いっぱい 量 不満 おかげ 朝食 宿 清掃 食事 普通 文句 玄関 施錠 宿 前 コンビニ 買い物 事 お薦め 機会
洋室を予約しました。天気があまり良くなかったので部屋で過ごしていましたが、部屋が広すぎて寒々しかったです。和室の方がゆっくりできたかもしれません。スティックのお茶が２本置いてあり、おかわりしたい場合は追加料金を取られました。アメニティも有料です。温泉は源泉掛け流しの内湯と露天でゆっくりでき満足しました。大涌谷にも近く観光には便利な場所でした。,2023-06-12,洋室 予約 天気 和室 スティック お茶 本 かわり 場合 追加 料金 アメニティ 有料 源泉 掛け 流し 内湯 露天 満足 涌谷 近く 観光 便利 場所
到着してホテルを見た時にあれ？やってる？と心配になるほどで、あまり期待していなかったのですが、部屋へ入ったらとても広くて、清潔感有り。大浴場も露天風呂もとてもいい感じ。お湯もツルツルで最高に癒されました。加えて、朝カーテンわ開けたら、きれいな富士山がしっかりと見えて、景色も最高でした。帰る頃には雲で全く見えなかったので、その時々で違うようです。素泊まりにする時は食事する所をあらかじめ調べていかないと、お店が周りになにもないので、大変です。また利用したいと思います。ありがとうございました。,2023-06-01,到着 ホテル あれ ? ? 心配 期待 清潔 感 浴場 感じ お湯 最高 朝 カーテン きれい 富士山 景色 最高 頃 雲 素泊まり 食事 所 店 周り 大変
ふと温泉に行きたくなり以前利用した事があるこちらの宿を宿泊日前日の夕方に予約しました。フロントの女性は外国の方でしたが案内も何とか理解出来ます。館内は無駄を省いたシンプルなホテルです。静かに温泉を楽しむならオススメです。お部屋の窓からは朝夕姿を変える富士山と芦ノ湖の景色 それだけあれば充分な気がします。朝の露天風呂は陽の光眩しく気持ち良い限り。お湯加減も最適でした。また時間が出来たらリピートしたいと思います。,2023-05-29,以前 事 宿 宿泊 日 前日 夕方 予約 フロント 女性 外国 案内 理解 館内 無駄 シンプル ホテル 静か オススメ 窓 朝夕 姿 富士山 芦ノ湖 景色 充分 気 朝 陽 光 気持ち 限り お湯 加減 最適 時間 リピート
今回は窓が大きく眺望抜群の山の中の宿を探して見つけた宿でした。富士山が見える最高のお部屋で露天風呂もあり、温泉も良くお食事も丁度良い良で美味しかったです。またコスパが良かったので気持ち的にも安心して滞在出来ました。確かに他の方の書き込み通り食事時には一人のスタッフさんがサービスしていましたが充分でした。歯ブラシ等も有料提供と知っていたので持参しました。リーズナブルでゆっくりしたい方にお勧めです。リーズナブルで無駄の無い,2023-05-08,窓 眺望 抜群 山 宿 宿 富士山 最高 食事 良 パ 気持ち 的 安心 滞在 確か 他 書き込み 通り 食事 人 サービス 充分 歯ブラシ 等 有料 提供 持参 リーズナブル リーズナブル 無駄
家族で利用させて頂きました。お風呂のお湯は熱すぎず、ゆっくり入ることができました。露天風呂も気持ち良かったです。食事も満足でした。部屋にコンセントが少なくて、携帯の充電器を利用するのに困りました。,2023-05-07,家族 お湯 食事 満足 コンセント 携帯 充電 器
タイトル通り、箱根の温泉宿にこの値段で泊まれたのなら良しとします。が、チェックイン時のスタッフの説明に物足りなさを感じたし(布団は自分で敷く、歯ブラシなどは部屋には置いてないなど、伝えてくれれば問題なかったのに、残念でした。)朝食は出来合いの物を並べた感じで割高感ありました。部屋からは富士山見えましたし、ロープウェイ駅にも近く立地は良かったし、ホテル前から散策道があり気持ち良い森林浴できました。,2023-04-29,タイトル 通り 箱根 宿 値段 チェックイン 説明 ( 布団 自分 歯ブラシ 問題 残念 ) 朝食 出来合い 物 感じ 割高 感 富士山 ロープウェイ 駅 近く 立地 ホテル 前 散策 道 気持ち 森林浴
口コミで料理が残念とありましたが、納得しました。この価格だとこんなものかと学びました。表面が乾いている副菜があり、いつから出されているんだろうと思いました。お部屋にお茶請けがないのが驚きました。そんなところでケチられているんだと感じました。露天風呂の屋根がほぼないため、雨だったので露天風呂は入れませんでした。箱根エリアの価格帯がわかった気がします。リピートはないです。,2023-04-20,口コミ 残念 納得 価格 表面 菜 お茶請け ケチ 屋根 雨 箱根 エリア 価格 帯 気 リピート
過剰なサービスや豪華な食事が売りの宿が多い中、ここは自然なサービスで手を出しすぎずでも頼めば手を貸してくれるそして食事も適度な量で特別なご馳走ではないけれど美味しく完食できました。お風呂はすこしぬるめですがその分じっくりと湯に浸かることが出来ました自分に合っていたようで身体の痛みがかなり軽減しましたお部屋は高齢者にも配慮されているのかな？部屋の風呂は手すりがついていました。勿論眺めも良かったですこんなに家族でゆっくりゆったり出来たと感じたのは初めてかも！それとアメニティをかなり省いているのも高感度大です。歯ブラシセットや化粧水などなどいろいろつけてくれる宿が多いけれど自分の使い慣れているものが1番だし必要ないなぁといつもおもっていたので良いことだお思おますこの宿を一言で言うと「食事付きの湯治宿」かなぁ(笑)また是非伺いたいです,2023-04-19,過剰 サービス 豪華 食事 宿 自然 サービス 手 手 食事 適度 量 特別 ご馳走 完 食 分 湯 自分 身体 痛み 軽減 高齢 者 配慮 ? 手すり 眺め 家族 かも アメニティ 感度 大 歯ブラシ セット 化粧 水 宿 自分 番 必要 宿 一言 食事 付き 湯治 宿 ( 笑 )
今回友人6人で利用しました。チェックイン時全国旅行支援の事を伺ったところ無愛想でがっかりでした。部屋は富士山も見え綺麗でしたが、電話が無くて何かの時は客がフロントまで足を運ばなくてはならないのは如何なものかと・・・電話がない事にビックリ。お風呂は綺麗でしたがドライヤーが1台しか無くて順番に使用するのに時間がかかりました。楽しみにしていた夕食でしたが、どれも味が薄くてお味噌汁は白湯を飲んでいるようでスタッフにクレームを言わせてもらいました。スタッフは3名しか見てなくて、食事の準備で忙しそうでフロントはほとんど空、あれでは質の高い接客はできないと思います。,2023-04-16,友人 人 チェックイン 全国 支援 事 無愛想 富士山 綺麗 電話 客 フロント 足 如何 電話 事 ビックリ 綺麗 ドライヤー 台 順番 使用 時間 楽しみ 夕食 味 味噌汁 白湯 クレーム 名 食事 準備 フロント 空 あれ 質 接客
口コミ4.1で良い評価だったので、いろいろ探した結果こちらに決めました。チェックイン時もチェックアウト時もフロントにスタッフはおらず、電話をかけてもなかなか、出ず、かなり待たされました。（やる気あるの？）お布団はセルフというのはわかっていましたが、枕カバーも掛け布団にもカバーされていないホテルは初めてで驚きました。朝食付きのプランにしましたが、家庭の朝ごはんでした。温泉は良かったですが、利用中、脱衣所など清掃されている様子はありませんでした。売店もお土産ショップコーナーもありません。自動販売機があるだけでした。アメニティも設置されていません。これから利用する方は気をつけてください。温泉でゆっくりし、旅を楽しむ旅館ではありませんでした。個人的にはもう利用しないです。,2023-04-16,口コミ . 評価 結果 チェックイン チェック アウト フロント 電話 ( やる気 ?) 布団 セルフ 枕 カバー 掛け布団 カバー ホテル 朝食 付き プラン 家庭 朝 ごはん 脱衣 所 清掃 様子 売店 土産 ショップ コーナー 自動 販売 機 アメニティ 設置 気 旅 旅館 個人 的
部屋数は多くないですが、大勢の人が見られないゆっくり友人や家族など大人の時間が取られる料理も美味しい。お湯は硫黄成分強い匂いはなかった,2023-04-14,数 大勢 人 友人 家族 大人 時間 お湯 硫黄 成分 匂い
初めての宿泊でしたが、部屋の中から富士山がど～んとみえることに大いに感動いたしました。姥子には初めて足を踏み入れましたが、あの眺めは他のホテルにはない強みだなと思いました。素晴らしい立地だと思います。ロープウェーの姥子駅からすぐですし、静かで緑豊かな場所です。四季倶楽部のシステムを理解して利用するなら、とてもよいと思います。しかしながら、初めて利用する人間には、きちんと説明してほしかったです。宿帳に初回利用の旨は記載する欄があるので、複数回利用の方とは区別できると思います。必要最低限のサービスは理解できますが、丁寧な説明や気配りは省略するべきではないと思います。スタッフの方が少なく、フロントに不在の時には内線子機で呼び出し、夜間は当直の電話番号（外線）で対応するとなっていましたが「お待たせしました」の一言があってもいいのではないかなと思います。チェックインで何度も呼び出してずいぶん待ちましたが、挨拶もなかったです。倶楽部を初めて利用する人には「蒲団を自分で敷く」ことや「食事の時間に食堂に来る」こと「階段の他に奥にエレベータがある」ことは丁寧に説明してほしかったです。食事は和食で、ごはんはお櫃で出されます。ごはんは十分あり、おかずの種類もありますが、量は少なめに感じました。他のホテルで美味しく十分にお腹を満たす無料朝食をいただいた経験からすると、残念な内容。盛り付けが雑でお皿が汚れていたりするのは、悲しかったです。お風呂は濁り湯の内湯と透明の露天風呂でした。内湯はぬるめ、露天風呂は外灯がすくなく暗かったので朝入りました。広くてのんびりできました。一人旅なので、脱衣室に貴重品ロッカーがないのは心配。また、ホテルの入口を喫煙場所にするのは再考ねがいたいところ。ホテルに着くなり煙に巻かれてしまいますので、喫煙しない人間にはつらいです。お部屋は広くて、空気清浄機（シャープの最新型）がありました。お掃除は部分的に埃だらけですが、全体的にはきれいなようです。不満もありますが、温泉と富士山の眺めで嫌なことが消し飛ぶ感じでした。お世話になりました。,2023-04-12,宿泊 富士山 ~ 感動 姥 子 足 眺め 他 ホテル 強み 立地 ロープウェー 姥 子 駅 静か 緑 豊か 場所 四季 倶楽部 システム 理解 人間 説明 宿帳 初回 旨 記載 欄 複数 回 区別 必要 最低限 サービス 理解 丁寧 説明 気配り 省略 フロント 不在 内線 子 機 呼び出し 夜間 当直 電話 番号 ( 外線 ) 一言 チェックイン 度 挨拶 倶楽部 人 蒲団 自分 食事 時間 食堂 階段 他 奥 エレベータ 丁寧 説明 食事 和食 ごはん お櫃 ごはん 十分 おかず 種類 量 少なめ 他 ホテル 十分 お腹 無料 朝食 経験 残念 内容 盛り 付け 雑 皿 濁り 湯 内湯 透明 内湯 外灯 朝 人 旅 脱衣 室 貴重 品 ロッカー 心配 ホテル 入口 喫煙 場所 再考 ホテル 煙 喫煙 人間 空気 清浄 機 ( シャープ 最新 型 ) 掃除 部分 的 埃 だらけ 全体 的 きれい 不満 富士山 眺め 嫌 感じ
連泊しました。箱根大涌谷やアウトレットモールも程良い距離にあり、退屈する事無くゆっくりできました。また、天気の良い日に利用しようと思います。,2023-04-09,連 泊 箱根 大 涌谷 アウトレットモール 程 距離 退屈 事 天気 日
"3月末、春休み平日の家族旅行に利用させていただきました。場所はロープウェイの姥子駅になります。自家用車以外での移動はとても困難な場所です。ロープウェイの終電が16時45分(大涌谷)なので、ロープウェイでの行列の待ち時間、ケーブルカーの移動も含め、時間にゆとりをもった計画が必要になります。わが家は彫刻の森に行ってからでしたが、彫刻の森を16時に出てギリギリでした。お宿はホテルというより、合宿所に近いイメージです。部屋数も少なく、2階部分に20もありませんので、混雑もなく、静かにのんびり過ごせて私はとても好きです。5部屋のみ山側で、あとは全て芦ノ湖ビュー。大浴場もほぼ貸切でした。硫黄泉のお風呂は内湯と外湯だけですが、とても気持ちよく過ごせました。お食事は食堂のテーブルに準備されているスタイルで、美味しかったです。40代夫婦にはちょうど良い量と味付けですが、食べ盛りの中学生には少々足りなかったみたい。魚＆野菜メニューでしたので、お年寄りには良いかも。朝食はサバの照り焼きで美味しかったのですが、隣のテーブルの小さいお子さんは同じメニューなので、ご飯と納豆しか食べられなかったみたいです。近くにコンビニ等は全くないので、事前に調達してから宿に向かった方が良いです。ビールは300円、ペットボトル飲料は160円でした。良心的！売店等はなく、自動販売機に柿の種300円のみがあります。ちょっとピリ辛ですが大粒で美味しかった。浴衣、子供浴衣はあります。ハブラシはありませんが、フロントで購入可能。バスタオル、タオルあり。お風呂にはリンスインシャンプー、ボディーソープのみ。ヘアブラシなし。カラオケ、卓球あり。キッズスペースあり。おもちゃは少ないですが、やたら広い！        14,383円（大人2、中学生1）× 3名      ＋ 13,063円（小学生）× 1名  小計：56,212円",2023-04-07,"月末 春休み 平日 家族 場所 ロープ ウェイ 姥 子 駅 自家用車 以外 移動 困難 場所 ロープ ウェイ 終電 分 ( 大 涌谷 ) ロープ ウェイ 行列 待ち時間 ケーブルカー 移動 時間 ゆとり 計画 必要 わが家 彫刻の森 彫刻の森 ギリギリ 宿 ホテル 合宿 所 イメージ 数 階 部分 混雑 静か 私 好き 山側 あと 全て 芦ノ湖 ビュー 浴場 貸切 硫黄 泉 内湯 外 湯 食事 食堂 テーブル 準備 スタイル 代 夫婦 量 味付け 盛り 中学生 魚 & 野菜 メニュー 年寄り 朝食 サバ 照り 焼き 隣 テーブル お子さん メニュー ご飯 納豆 近く コンビニ 等 事前 調達 宿 ビール 円 ペットボトル 飲料 円 良心 的 売店 等 自動 販売 機 柿 種 円 ピリ 辛 大粒 浴衣 子供 浴衣 ハブラシ フロント 購入 可能 バス タオル タオル リンスインシャンプー ボディー ソープ ヘア ブラシ カラオケ 卓球 キッズスペース おもちゃ , 円 ( 大人 中学生 ) 名 + , 円 ( 小学生 ) 名 小計 : , 円"
いつも利用させて頂いてますが…外の気温が低いのに、今回の温泉は内湯も露天風呂も、いつもよりも、ぬるめで、残念でした。,2023-03-22,外 気温 内湯 残念
急遽、予約をしたので素泊まりで利用しました。ふとんなども自分でやりますが、値段を考えると満足です。夜中はホテルからでることはできませんので車に忘れ物注意です。,2022-10-07,予約 素泊まり 自分 値段 満足 夜中 ホテル 車 忘れ物 注意
芦ノ湖畔なので、湯本は猛暑でもここはとても快適でした。ロビー、足湯、食事会場からの眺めもよく、のんびりした旅が出来ました。桃源台から徒歩3分のアクセスで、ロープウェイや海賊船で移動するにはとても便利です。宿泊費もとてもリーゾナブルでした。,2023-08-30,芦ノ湖 畔 湯本 猛暑 快適 ロビー 足湯 食事 会場 眺め 旅 桃源 台 徒歩 分の アクセス ロープ ウェイ 海賊 船 移動 便利 宿泊 費 リーゾナブル
妻がネットで見つけて、初めて伺いました。小田原から登山電車、ケーブルカー、ロープウェイを乗り継ぎ桃源台まで向かい、駅から徒歩5分も掛かりませんでした。エントランスは幾分狭い感じがしましたが、フロントの有るフロアは清潔感が有り気持ち良かったです。今回部屋に露天風呂があるタイプを利用、本来であれば眺めの良い4階の筈ですが窓の前の樹々が生い茂り余り景色の良さは感じられませんでした。また、部屋からの大浴場、食堂までの道のりが長い廊下を通り2回エレベーターを乗り継ぎ行くのが難点ですかね？！しかし特にビュッフェタイプの夕ご飯の食材は非常に良かったです。,2022-10-06,妻 ネット 小田原 登山 電車 ケーブルカー ロープ ウェイ 桃源 台 駅 徒歩 分 エン トランス 感じ フロント フロア 清潔 感 タイプ 本来 眺め 階 筈 窓 前 樹 余り 景色 浴場 食堂 道のり 廊下 通り 回 エレベーター 乗り継ぎ 難点 ?! タイプ 夕 ご飯 食材 非常
まずエントランスから入ると美しい芦ノ湖ビューが広がります。館内の隅々まで綺麗で、お掃除もしっかり行き届います。設備も内装も新しいものに見えます、清潔感満点です！ご飯はバイキング形式で、とても美味しく内容も充実していました。子供連れとしてはバイキング形式は本当に助かるので改めて感謝です。お部屋らスタンダードルームでしたが十分広く、清潔感あふれるお部屋でした。老若男女問わず楽しめるお宿と感じましたし、3世代でいらっしゃっているグループも結構見かけました。とても良い時間でした、ありがとうございました。,2022-10-06,エン トランス 芦ノ湖 ビュー 館内 隅々 綺麗 掃除 設備 内装 清潔 感 満点 ご飯 バイキング 形式 内容 充実 子供 連れ バイキング 形式 感謝 ら スタンダード ルーム 十分 清潔 感 老若男女 宿 世代 グループ 時間
ハイクラスなお宿だけになかなかうかがえないのですが、送迎バスの運転手さんをはじめ、フロント、レストラン、すべてのスタッフの方が覚えていて下さる、本当に素敵なはなをりさんです。最低価格のプランしか選べない私ですが、毎回、きめ細かいもてなしに感動です。早めに着いても、広いロビーのソファーでうとうとするのがわたしのルーティン。足湯もあります。ご年配の女性の方が、芦ノ湖をながめなが、「きれいね〜」と何度もおっしゃっていました。大浴場も空いっぱい眺められる解放感があり、ずっとお湯につかっていられます。食事も夕食は柔らかいステーキをメインにたくさんンのメニューで楽しめます。朝食のおすすめは、海鮮のお茶漬けと生絞りの野菜フルーツのフレッシュジュースです。今回、お部屋に露天風呂がついていたのですが、お湯の温度管理はフロントにリクエストすれば自分好みの温度に対応してもらえて、ラグジュアリー感がすごいです。はなをりさんは確かにお高いお宿ですが、価値のある体験ができますよ。,2022-10-04,ハイクラス 宿 送迎 バス 運転 手 はじめ フロント レストラン すべて 素敵 はな りさ 最低 価格 プラン 私 毎回 もてなし 感動 早め ロビー ソファー わたし ルーティン 足湯 年配 女性 芦ノ湖 きれい 〜」 度 浴場 空 いっぱい 解放 感 お湯 食事 夕食 ステーキ メイン たくさん ン メニュー 朝食 海鮮 お茶漬け 生 野菜 フルーツ フレッシュ ジュース お湯 温度 管理 フロント リクエスト 自分 好み 温度 ラグジュアリー 感 はな りさ 確か 宿 価値 体験
9月下旬に宿泊させていただきました。眺望のよい部屋を希望しましたところ、芦ノ湖がよく見える部屋をご用意いただきました。足湯をつかりながらの眺めや部屋から眺め、食事処からの眺めすべてが最高でした。芦ノ湖と山、空のコントラストが大変素敵でした。食事はビッフェスタイルで、とりわけ夕食時のお肉は大変美味しかったです。露天風呂の寝湯は約40℃くらいで大変リラックスできました。また是非家族で利用させていただきたいと思います。素晴らしい思い出になりました。本当にありがとうございました。,2022-10-01,月 下旬 宿泊 眺望 希望 芦ノ湖 用意 足湯 眺め 食事 処 眺め すべて 最高 芦ノ湖 山 空 コントラスト 大変 素敵 食事 ビッフェスタイル 夕食 大変 湯 ℃ 大変 リラックス 是非 家族 思い出
できたばかりのホテルでとても綺麗で良かった。桃源台駅からもとても近く車を置いて箱根のあちこちに出かけられるのが、とても良かった。是非また利用したいと思います。,2022-10-01,ホテル 綺麗 桃源 台 駅 近く 車 箱根 あちこち
冷房が壊れていたので、あまりゆっくりできなかった。事前に連絡頂いたが前日の夜で中止しようかと思ったがせっかく休みをとったのので、箱根なので夜は大丈夫かと思ったが暑かったので印象が悪いのかもしれません。夕食は見た目は綺麗だが、味は?です。味つけご飯が臭く食べる気がしなかった。魚の処理が悪いのかも?飲み物をお願いするのにスマホを使うが電波状態が悪く苦労しました。他の方も困っていました。せっかくの食事も落ち着かず考えて頂きたい。ツインの部屋にしたが、台の上にマットが置いてあり下りるのが人苦労でした。露天風呂も有料だし料金的には高めです。,2023-08-21,冷房 事前 連絡 前日 夜 中止 休み 箱根 夜 大丈夫 印象 夕食 見た目 綺麗 味 ? 味つけ ご飯 気 魚 処理 ? 飲み物 お願い スマホ 電波 状態 苦労 他 食事 ツイン 台 上 マット 人 苦労 有料 料金 的 高め
